"","X.1","X","star_level","stars","BusinessAcceptsCreditCards","BikeParking","RestaurantsTakeOut","GoodForKids","RestaurantsDelivery","OutdoorSeating","HasTV","BusinessParking","romantic","intimate","touristy","hipster","divey","classy","trendy","casual","upscale","RestaurantsPriceRange2","Alcohol","RestaurantsAttire","NoiseLevel","hours.time","happyhour","review_count"
"31",31,32,"low",3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,"casual","average",50,NA,133
"32",32,33,"high",4,TRUE,NA,NA,FALSE,NA,FALSE,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3
"33",33,34,"high",4,TRUE,NA,TRUE,TRUE,FALSE,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,"casual",NA,85,TRUE,33
"34",34,35,"low",3,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"full_bar",NA,"average",83,NA,7
"35",35,36,"high",5,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"beer_and_wine",NA,"average",45,NA,5
"36",36,37,"high",4,TRUE,NA,NA,NA,NA,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"full_bar",NA,NA,NA,TRUE,11
"37",37,38,"low",1.5,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,78,NA,3
"38",38,39,"high",4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"full_bar","casual","quiet",168,NA,98
"39",39,40,"low",3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",68,NA,41
"40",40,41,"high",4,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"full_bar",NA,NA,91.5,TRUE,7
"41",41,42,"high",4,TRUE,FALSE,NA,TRUE,NA,FALSE,TRUE,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"full_bar",NA,NA,63.5,TRUE,3
"42",42,43,"low",3.5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,"casual","quiet",48,NA,109
"43",43,44,"high",4,TRUE,NA,NA,FALSE,FALSE,TRUE,NA,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"full_bar","casual","loud",32,NA,20
"44",44,45,"high",4.5,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"beer_and_wine",NA,NA,71,FALSE,9
"45",45,46,"high",4.5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"full_bar","casual","average",108.5,TRUE,3
"46",46,47,"low",3.5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"full_bar","casual","average",63.5,TRUE,158
"47",47,48,"high",5,TRUE,TRUE,NA,FALSE,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,3
"48",48,49,"high",4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"full_bar","casual","average",27,FALSE,36
"49",49,50,"low",3.5,TRUE,FALSE,NA,NA,NA,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar",NA,"average",NA,NA,28
"50",50,51,"low",3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"full_bar","casual","average",107.5,TRUE,35
"51",51,52,"high",4.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",96,TRUE,55
"52",52,53,"low",3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,4
"53",53,54,"high",4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","loud",88,TRUE,121
"54",54,55,"low",3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,"casual","quiet",52,NA,23
"55",55,56,"low",3.5,TRUE,FALSE,NA,NA,NA,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,"full_bar",NA,"very_loud",81,NA,6
"56",56,57,"low",3.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,"full_bar","casual","average",75.5,NA,287
"57",57,58,"high",4,TRUE,NA,NA,NA,NA,FALSE,NA,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,NA,NA,137.5,NA,7
"58",58,59,"low",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"59",59,60,"low",3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",81,NA,83
"60",60,61,"high",4.5,TRUE,TRUE,TRUE,NA,NA,NA,NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,50,NA,3
"61",61,62,"high",4.5,TRUE,NA,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"full_bar",NA,"average",91,TRUE,94
"62",62,63,"low",3,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"full_bar",NA,NA,NA,NA,3
"63",63,64,"low",2,NA,NA,TRUE,NA,TRUE,NA,NA,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,57,NA,5
"64",64,65,"low",2.5,TRUE,NA,NA,TRUE,FALSE,NA,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"casual",NA,44,NA,3
"65",65,66,"low",3.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,"casual","average",73,TRUE,115
"66",66,67,"high",4.5,TRUE,NA,NA,NA,NA,NA,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,39,NA,3
"67",67,68,"high",4,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,"full_bar",NA,"loud",62,TRUE,35
"68",68,69,"high",4.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"full_bar","casual","average",31.5,TRUE,287
"69",69,70,"high",4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2,"full_bar","casual","loud",85,TRUE,560
"70",70,71,"low",3,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,81.5,TRUE,53
"71",71,72,"low",2.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,2,"full_bar","casual","average",78,TRUE,114
"72",72,73,"low",3,TRUE,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,108.5,NA,6
"73",73,74,"high",5,TRUE,NA,NA,NA,NA,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"full_bar",NA,"loud",143.5,NA,4
"74",74,75,"high",4.5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"full_bar","casual","average",108.5,TRUE,90
"75",75,76,"high",4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"YES",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"full_bar","casual","very_loud",67,TRUE,56
"76",76,77,"low",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",76,TRUE,96
"77",77,78,"high",4.5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"beer_and_wine",NA,NA,54,NA,18
"78",78,79,"low",2,TRUE,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"full_bar","casual","quiet",NA,NA,28
"79",79,80,"low",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6
"80",80,81,"high",5,TRUE,TRUE,NA,NA,NA,NA,NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,45.5,NA,7
"81",81,82,"high",4,TRUE,NA,TRUE,TRUE,FALSE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,"casual",NA,105,NA,11
"82",82,83,"low",3.5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",105,NA,82
"83",83,84,"low",3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"full_bar","casual","loud",76,NA,37
"84",84,85,"low",3.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",75,TRUE,210
"85",85,86,"high",4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,2,"beer_and_wine","casual","quiet",57,TRUE,87
"86",86,87,"low",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"full_bar","casual","average",68.5,TRUE,172
"87",87,88,"high",4.5,TRUE,TRUE,NA,TRUE,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,64,NA,12
"88",88,89,"high",4.5,TRUE,NA,NA,FALSE,NA,NA,NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,77,NA,8
"89",89,90,"low",3.5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",93,TRUE,266
"90",90,91,"high",4,TRUE,NA,TRUE,TRUE,FALSE,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,"casual",NA,66,TRUE,29
"91",91,92,"low",3,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"full_bar",NA,NA,106.5,TRUE,13
"92",92,93,"high",4,FALSE,NA,NA,NA,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,71,NA,6
"93",93,94,"low",3.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,"full_bar","casual","average",79,TRUE,180
"94",94,95,"low",3.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"full_bar","casual","average",79,NA,85
"95",95,96,"high",4.5,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,58.5,FALSE,14
"96",96,97,"low",2.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","loud",95,NA,88
"97",97,98,"low",3,TRUE,NA,NA,NA,NA,NA,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,NA,NA,NA,NA,5
"98",98,99,"low",3.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","loud",105,NA,112
"99",99,100,"low",3,TRUE,FALSE,TRUE,NA,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10
"100",100,101,"low",2,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"full_bar",NA,NA,NA,NA,9
"101",101,102,"low",3.5,TRUE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"casual",NA,NA,NA,3
"102",102,103,"high",4.5,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"beer_and_wine",NA,NA,43,NA,10
"103",103,104,"high",4,NA,NA,NA,NA,NA,NA,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,78,NA,24
"104",104,105,"low",3.5,FALSE,TRUE,NA,FALSE,NA,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"full_bar",NA,"loud",66,TRUE,28
"105",105,106,"low",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,"casual",NA,101,TRUE,11
"106",106,107,"high",4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,2,"full_bar","casual","average",75,TRUE,718
"107",107,108,"low",3.5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"YES",NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,NA,2,"full_bar","casual","average",86,TRUE,220
"108",108,109,"high",4.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",77,TRUE,831
"109",109,110,"high",4,TRUE,NA,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,"full_bar","casual","loud",92,TRUE,26
"110",110,111,"high",4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",75.5,NA,264
"111",111,112,"low",3.5,TRUE,TRUE,NA,NA,NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5
"112",112,113,"high",4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,"full_bar","casual","average",75,NA,426
"113",113,114,"low",2.5,TRUE,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,88,NA,3
"114",114,115,"high",4.5,FALSE,TRUE,NA,NA,NA,NA,NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,68.5,NA,12
"115",115,116,"low",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"116",116,117,"low",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"full_bar","casual","average",104.5,TRUE,33
"117",117,118,"high",4.5,TRUE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,50.5,NA,38
"118",118,119,"low",3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",105,TRUE,309
"119",119,120,"low",2,TRUE,FALSE,NA,NA,NA,FALSE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"full_bar",NA,NA,88,TRUE,9
"120",120,121,"low",3.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,NA,NA,2,"full_bar","casual","average",105,TRUE,91
"121",121,122,"low",3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"NO",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,"full_bar","casual","average",105,NA,23
"122",122,123,"high",5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,168,NA,5
"123",123,124,"high",4.5,FALSE,FALSE,NA,NA,NA,NA,NA,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,43,NA,21
"124",124,125,"low",3.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"YES",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"full_bar","casual","average",81,NA,26
