"","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","open.days","Monday.hour","Tuesday.hour","Thursday.hour","Wednesday.hour","Friday.hour","Saturday.hour","Sunday.hour"
"40","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-21:30",7,0,11,11,11,12,12,10.5
"41","16:0-1:0","14:0-22:0","16:0-22:0","9:30-22:0","16:0-1:0","12:0-1:0","12:0-18:0",7,9,8,12.5,6,9,13,6
"42","16:0-21:30","16:0-21:30","16:0-21:30","16:0-21:30","16:0-22:30","12:0-22:30","12:0-21:0",7,5.5,5.5,5.5,5.5,6.5,10.5,9
"43",NA,"17:0-23:0","17:0-23:0","17:0-23:0","17:0-0:0","17:0-0:0",NA,5,NA,6,6,6,7,7,NA
"44","0:0-0:0","12:0-20:0","12:0-21:0","12:0-21:0","12:0-21:0","12:0-18:0","12:0-18:0",7,0,8,9,9,9,6,6
"45","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"46","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-23:0","10:0-15:0","10:0-15:0",7,10.5,10.5,10.5,10.5,11.5,5,5
"47","5:30-19:0","6:0-20:0","5:30-20:0","6:0-20:0","6:0-19:0","8:0-12:0","8:0-22:30",7,13.5,14,14,14.5,13,4,14.5
"48","17:0-22:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0",NA,6,5,4,4,4,5,5,NA
"49",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"50","6:30-23:0","6:30-23:0","6:30-23:0","6:30-23:0","6:30-23:0","7:30-23:0","7:30-17:0",7,16.5,16.5,16.5,16.5,16.5,15.5,9.5
"51","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:30","11:0-2:30","11:0-0:0",7,13,13,13,13,15.5,15.5,13
"52",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"53","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0","11:0-23:0",7,12,12,12,12,14,14,12
"54",NA,"11:0-20:0","11:0-20:0","11:0-20:0","11:0-21:0","11:0-21:0","11:0-16:0",6,NA,9,9,9,10,10,5
"55","15:0-0:0","15:0-0:0","15:0-0:0","15:0-0:0","11:0-2:0","11:0-2:0","11:0-2:0",7,9,9,9,9,15,15,15
"56","11:0-22:0","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","11:0-22:0",7,11,10.5,10.5,10.5,11,11,11
"57","6:30-2:0","6:30-2:0","6:30-2:0","6:30-2:0","6:30-2:30","6:30-2:30","6:30-2:0",7,19.5,19.5,19.5,19.5,20,20,19.5
"58",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"59","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-0:0","11:0-0:0","10:0-21:0",7,11,11,11,11,13,13,11
"60","7:30-17:30","7:30-17:30","7:30-17:30","7:30-17:30","7:30-17:30",NA,NA,5,10,10,10,10,10,NA,NA
"61","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-21:0",7,0,11,11,11,12,12,10
"62",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"63",NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","12:0-19:0",6,NA,10,10,10,10,10,7
"64","0:0-0:0","16:0-21:0","16:0-21:0","16:0-21:0","16:0-21:0",NA,NA,5,0,5,5,5,5,NA,NA
"65","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:0-21:0",7,10.5,10.5,10.5,10.5,10.5,10.5,10
"66",NA,"14:0-21:0","14:0-21:0","14:0-21:0","16:0-1:0","16:0-1:0",NA,5,NA,7,7,7,9,9,NA
"67","16:0-1:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-1:0",7,9,9,9,9,9,9,8
"68",NA,"16:30-22:0","16:30-22:0","16:30-22:0","16:30-0:0","16:30-0:0",NA,5,NA,5.5,5.5,5.5,7.5,7.5,NA
"69","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,10,10,10,10,15,15,15
"70","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-23:0","10:30-23:0","10:30-21:0",7,11.5,11.5,11.5,11.5,12.5,12.5,10.5
"71","0:0-0:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0",7,0,9,9,9,9,9,9
"72","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"73","6:0-2:30","6:0-2:30","6:0-2:30","6:0-2:30","6:0-2:30","6:0-2:30","6:0-2:30",7,20.5,20.5,20.5,20.5,20.5,20.5,20.5
"74","10:0-1:30","10:0-1:30","10:0-1:30","10:0-1:30","10:0-1:30","10:0-1:30","10:0-1:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"75","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-0:0","11:30-0:0",NA,6,10.5,10.5,10.5,10.5,12.5,12.5,NA
"76","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0",NA,6,12,12,12,12,14,14,NA
"77",NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-23:0","11:0-23:0",NA,5,NA,10,10,10,12,12,NA
"78",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"80",NA,"9:30-19:0","9:30-19:0","9:30-19:0","9:30-19:0","7:30-15:0",NA,5,NA,9.5,9.5,9.5,9.5,7.5,NA
"81","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"82","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"83","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:30","12:0-2:30","20:0-2:0",7,11,11,11,11,11.5,14.5,6
"84","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","10:0-21:0",7,10.5,10.5,10.5,10.5,11,11,11
"85","12:0-21:30","12:0-21:30","12:0-21:30","12:0-21:30","12:0-21:30","12:0-21:30",NA,6,9.5,9.5,9.5,9.5,9.5,9.5,NA
"86","11:30-21:0","11:30-21:0","11:30-21:0","11:30-21:0","11:30-22:0","11:30-22:0","11:30-21:0",7,9.5,9.5,9.5,9.5,10.5,10.5,9.5
"87","0:0-0:0","10:0-20:0","10:0-20:0","10:0-20:0","10:0-20:0",NA,NA,5,0,10,10,10,10,NA,NA
"88","5:30-20:0","5:30-20:0","6:0-20:0","5:30-20:0","6:0-18:0","7:30-11:30","7:30-11:0",7,14.5,14.5,14.5,14,12,4,3.5
"89","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-2:0","10:0-2:0","10:0-23:0",7,12,12,13,12,15,16,13
"90","11:0-21:0","11:0-21:0","11:0-21:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,6,10,10,12,10,12,12,NA
"91","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","12:0-2:30","12:0-2:30",7,15.5,15.5,15.5,15.5,15.5,14.5,14.5
"92","6:0-18:0","6:0-18:0","6:0-18:0","6:0-18:0","6:0-18:0","6:0-17:0",NA,6,12,12,12,12,12,11,NA
"93",NA,"11:0-21:0","11:0-21:0","11:0-1:0","11:0-2:30","11:0-2:30","11:0-1:0",6,NA,10,14,10,15.5,15.5,14
"94","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","10:0-21:0",7,11,11,11,11,12,12,11
"95","0:0-0:0","10:0-18:0","10:0-18:0","10:0-18:0","10:0-15:0","8:30-14:0",NA,6,0,8,8,8,5,5.5,NA
"96","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","11:0-2:0","11:0-0:0",7,13,13,13,13,15,15,13
"97",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"98","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"99",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,"12:0-20:0","12:0-20:0","12:0-22:0","11:0-22:0","11:0-17:0",5,NA,NA,8,8,10,11,6
"103","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-21:0",7,11,11,11,11,12,12,10
"104","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","18:0-2:0","18:0-2:0",7,10,10,10,10,10,8,8
"105","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","14:0-2:0","12:0-2:0",7,15,15,15,15,15,12,14
"106","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-23:0","11:30-23:0","11:0-21:0",7,10.5,10.5,10.5,10.5,11.5,11.5,10
"107",NA,"9:0-22:0","9:0-22:0","9:0-2:0","9:0-0:0","9:0-0:0","9:0-22:0",6,NA,13,17,13,15,15,13
"108","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",7,11,11,11,11,11,11,11
"109","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-23:0",7,13,13,13,13,14,14,12
"110","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:30","11:0-22:30","11:0-21:30",7,10.5,10.5,10.5,10.5,11.5,11.5,10.5
"111",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"112","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-23:0","11:30-23:0","11:0-21:0",7,10.5,10.5,10.5,10.5,11.5,11.5,10
"113","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-0:0",NA,6,15,15,15,15,15,13,NA
"114","0:0-0:0","9:0-18:30","9:0-18:30","9:0-18:30","9:0-18:30","9:0-15:30",NA,6,0,9.5,9.5,9.5,9.5,6.5,NA
"115",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"116","0:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","11:0-2:0","11:30-23:0",7,0,13,13,13,15,15,11.5
"117","0:0-0:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0","10:30-15:0",7,0,4,4,4,5,5,4.5
"118","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"119","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","12:0-2:0","12:0-19:0",7,13,13,13,13,15,14,7
"120","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"121","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"122","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",7,0,0,0,0,0,0,0
"123",NA,"9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","8:0-15:0",NA,5,NA,9,9,9,9,7,NA
"124","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-20:0",7,12,12,12,12,12,12,9
"125","10:0-2:30","10:0-2:30","10:0-2:30","10:0-2:30","10:0-2:30","10:0-2:30","11:0-2:30",7,16.5,16.5,16.5,16.5,16.5,16.5,15.5
"126","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","11:0-2:0","11:0-2:0",NA,6,13,13,15,13,15,15,NA
"127","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","8:0-22:0","8:0-22:0",7,11,11,11,11,11,14,14
"128","0:0-0:0","11:0-21:0","11:0-21:0","11:0-1:0","11:0-2:0","11:0-2:0","11:0-21:0",7,0,10,14,10,15,15,10
"129","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","10:0-17:0",7,11,11,11,11,11,9,7
"130","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","11:0-2:30","11:0-2:0",7,15,15,15,15,15.5,15.5,15
"131","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","12:0-21:30",7,11,11,11,11,12,12,9.5
"132","9:0-19:0","9:0-19:0","9:0-19:0","9:0-19:0","9:0-19:0","10:0-18:0","10:0-18:0",7,10,10,10,10,10,8,8
"133",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"134","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","11:0-22:0","11:0-21:30",7,10.5,10.5,10.5,10.5,11,11,10.5
"135","16:0-2:30","14:30-2:30","14:30-2:30","14:30-2:30","11:30-2:30","14:30-2:30","14:30-2:30",7,10.5,12,12,12,15,12,12
"136","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-23:0","16:0-23:0",NA,6,6,6,6,6,7,7,NA
"137","15:0-23:0","15:0-23:0","15:0-23:0","15:0-23:0","15:0-23:0","15:0-23:0","11:0-23:0",7,8,8,8,8,8,8,12
"138","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",7,10,10,10,10,10,10,10
"139",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"140","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:30-22:30","12:0-21:0",7,11,11,11,11,11.5,11,9
"141",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"142","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","11:0-17:0",7,11,11,11,11,11,9,6
"143",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"144",NA,NA,NA,NA,"17:15-21:15","12:30-21:15",NA,2,NA,NA,NA,NA,4,8.75,NA
"145","0:0-0:0","11:0-19:0","11:0-19:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-23:0",7,0,8,13,8,13,13,12
"146","0:0-0:0",NA,NA,"17:0-2:0","17:0-2:0","22:0-2:0","22:0-2:0",5,0,NA,9,NA,9,4,4
"147","0:0-0:0","11:0-16:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",7,0,5,12,12,12,12,12
"148",NA,"12:0-20:30","12:0-20:30","12:0-20:30","12:0-23:0","14:0-23:0","13:0-19:0",6,NA,8.5,8.5,8.5,11,9,6
"149",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"150","0:0-0:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","10:0-22:0","10:0-21:0",7,0,10,10,10,11,12,11
"151","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0","10:0-0:0","10:0-0:0","11:0-20:0",7,12,12,12,12,14,14,9
"152","15:0-22:30","15:0-22:30","15:0-22:30","15:0-22:30","15:0-23:0","11:0-23:0","11:0-21:0",7,7.5,7.5,7.5,7.5,8,12,10
"153",NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","9:0-22:0","9:0-14:0",6,NA,10,10,10,11,13,5
"154","11:0-22:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","10:0-22:0",7,11,12,12,12,12,12,12
"155",NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:30-21:30",6,NA,11,11,11,11,11,10
"156","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-2:0","11:0-2:0","11:0-23:0",7,12,12,12,12,15,15,12
"157",NA,NA,NA,"19:0-2:0","19:0-2:0","19:0-2:0",NA,3,NA,NA,7,NA,7,7,NA
"158","18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0","18:0-4:0","18:0-4:0",NA,6,8,8,8,8,10,10,NA
"159","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-23:0",7,13,13,13,13,14,14,12
"160","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-23:0","11:30-23:0","11:30-20:30",7,10.5,10.5,10.5,10.5,11.5,11.5,9
"161",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"162","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","12:0-23:0",7,12,12,12,12,12,12,11
"163",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"164","15:0-22:30","12:0-22:30","15:0-22:30","15:0-22:30","12:0-23:0","12:0-23:0","12:0-23:0",7,7.5,10.5,7.5,7.5,11,11,11
"165","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,0,11,11,11,12,12,11
"166","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-2:30","11:0-2:30","11:0-0:0",7,13,13,14,14,15.5,15.5,13
"167","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",7,0,0,0,0,0,0,0
"168","0:0-0:0","16:0-0:0","16:30-21:30","16:30-21:30","16:30-22:0","16:30-22:0",NA,6,0,8,5,5,5.5,5.5,NA
"169",NA,"15:0-20:0","15:0-20:0","15:0-20:0","15:0-20:0","13:0-20:0","13:0-20:0",6,NA,5,5,5,5,7,7
"170","10:30-0:0","6:30-0:0","6:30-0:0","6:30-0:0","6:30-0:0","6:30-0:0","6:30-0:0",7,13.5,17.5,17.5,17.5,17.5,17.5,17.5
"171","0:0-0:0","11:0-21:0","11:0-21:0","16:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",7,0,10,5,10,10,10,10
"172","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-3:0","10:0-3:0","10:0-2:0",7,15,15,15,15,16,17,16
"173","8:0-22:30","8:0-22:30","8:0-22:30","8:0-22:30","8:0-23:30","8:0-23:30","10:0-22:30",7,14.5,14.5,14.5,14.5,15.5,15.5,12.5
"174","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"175","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","11:0-2:30","11:0-2:0",7,15,15,15,15,15.5,15.5,15
"176","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","10:0-20:0",7,11,11,11,11,12,12,10
"177","0:0-0:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","10:0-16:0",7,0,11,11,11,11,9,6
"178","9:0-0:0","9:0-0:0","9:0-0:0","9:0-0:0","9:0-2:0","9:0-2:0","9:0-0:0",7,15,15,15,15,17,17,15
"179","13:0-2:30","13:0-2:30","13:0-2:30","13:0-2:30","13:0-2:30","12:0-2:30","12:0-2:30",7,13.5,13.5,13.5,13.5,13.5,14.5,14.5
"180","17:0-22:0","17:0-22:0","17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","15:0-22:0",7,5,5,5,5,6,6,7
"181","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",7,12,12,12,12,12,12,12
"182","17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0",NA,6,4,4,4,4,5,5,NA
"183","0:0-0:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0",7,0,10,10,10,11,11,10
"184","7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0","9:0-17:0","9:0-17:0",7,12,12,12,12,12,8,8
"185","7:30-19:0","7:30-19:0","7:30-22:0","7:30-22:0","7:30-22:0","10:0-22:0","10:0-22:0",7,11.5,11.5,14.5,14.5,14.5,12,12
"186","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0",7,13,13,13,13,13,13,13
"187","6:30-23:0","6:30-23:0","6:30-23:0","6:30-23:0","6:30-23:0","7:0-23:0","7:0-22:0",7,16.5,16.5,16.5,16.5,16.5,16,15
"188",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"189","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30",7,10.5,10.5,10.5,10.5,10.5,10.5,10.5
"190","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","11:0-2:0","11:0-22:0",7,13,13,13,13,15,15,11
